Việt ngữ,Pháp ngữ,Hán ngữ,Giải nghĩa
ác-cảm,antipathie,惡感,"Cái cảm xấu đối với người nào, vật gì."
ách-yếu,détenir un point important,扼要,Nắm lấy chỗ cốt yếu.
ác-ma,"démon, diable, mauvaise apparition; force du mal",惡魔,"Con ma dữ, loài ma quỉ hung ác, cái mơ-mộng sằng."
ác-mộng,"songe cruel, mauvais rêve",惡夢,Mơ mộng những sự xấu.
ác-thú,bête fauve; bête féroce,惡獸,Con muông dữ.
ái-ân,affection et reconnaissance,愛恩,"Tình yêu nhau, ân-nghĩa ở với nhau."
ái-quần,"aimer sa communauté, ses concitoyens",愛羣,"Yếu thương người cùng với mình ở một đàn, một xứ."
ái-quốc,"amour de la patrie, patriotisme",愛國,Lòng yêu nước.
âm-dương-gia,professionnel des sciences occultes; tireur d'horoscope; devin,陰陽家,"Nhà học lấy vận-mệnh giời đất, đặt ra sao tốt sao xấu mà xem đoán việc người. Như thầy bói, thầy số, vân vân."
am-hiểu,"comprendre, saisir, pénétrer",諳曉,Thông-hiểu rõ-ràng.
âm-loại,electricité négative,陰類,"Thuộc về loài âm, (điện-học thì điện khô thuộc về loài dương, điện ướt thuộc về loài âm)."
ám-muội,"obscur; secret, inavouable",暗昧,"Tối-tăm mờ-mịt, làm truyện gì bưng-bịt tai mắt thiên-hạ không minh-bạch cho ai biết."
âm-mưu,projet secret; machination secrète,陰謀,"Mưu ngầm, lo-toan truyện gì kín-đáo không có cho ai biết."
ám-sát,assassinat,暗殺,"Giết ngầm, lập mưu giết người."
ám-tả,"leçon de dictée, d'orthographe",暗寫,"Bài tập viết mờ, không cho nom vào sách mà đọc cho viết theo xem có đúng được như chữ trong sách."
ám-trào,"intrigues, machinations secrètes",暗潮,"Sóng ngầm. Việc gì còn đương âm-thầm, sắp lai-láng ra ; chỉ cái âm-mưu về chính-trị."
ân-ái,"amour, attachement",恩愛,"Ân-tình hai người ở với nhau, lòng thương mến nhau."
ân-ba,bienfaits inépuisables,恩波,Ơn của người trên ban cho kẻ dưới đầm-thấm tuôn-rào như sóng lan khắp mọi nơi.
an-bần-lạc-đạo,litt. content de sa pauvreté et aimant la vertu; vivre content de son sort,安貧樂道,Yên phận nghèo mà ham vui đạo-lý.
ân-điển,faveur impériale; occasion solennelle où l'empereur accorde de faveurs aux fonctionnaires ou au peuple,恩典,Ơn vua ban xuống cho các thần dân một cách rất long-trọng.
anh-hào,grand homme; homme de génie,英豪,"Người giỏi, người tài đức hơn chúng."
anh-hùng-ca,épopée,英雄歌,Bài ca tán tụng công-đức những bực anh-hùng hào-kiệt.
anh-hùng-mạt-lộ,la fin d'un héros,英雄末路,"Người anh hùng đến lúc đã già, đã cuối đời, hay là gập lúc đường cùng vận bĩ."
ảnh-hưởng,"influence, exercer un influence",影響,"Chính nghĩa là cái bóng, cái tiếng vang. Dùng rộng nghĩa thì chỉ cái thế-lực của vật nọ lan-động sang vật kia, như cái bóng chiếu, cái tiếng vang."
anh-tài,"talent remarquable, don exceptionnel",英才,"Người có tài giỏi, có tài xuất sắc hơn người."
anh-thư,femme célèbre; héroïne,英雌,Người đàn bà giỏi có tiếng.
anh-tuấn,"homme de talent, esprit d'élite",英俊,"Người tài giỏi, cao-thượng."
an-nhàn,loisir et quiétude; vivre dans le loisir,安閒,"Ở yên-ổn thong-dong không phải lo gì, không phải làm gì."
ân-nhân,bienfaiteur,恩人,"Người làm ơn, người có ân nghĩa với mình."
ân-sủng,jouir de la faveur impériale,恩寵,"Nhờ được ơn vua yêu mến, mà được phong sắc thăng hàm, v. v."
an-tâm,"avoir le cœur tranquille, être sans inquiétude",安心,Yên lòng không lo nghĩ sợ hãi gì.
an-toàn,sécurité; quiétude,安全,Yên vẹn mọi đường.
ảo-tượng,illusion,幻象,"Hình-tượng không thực, hình-tượng mơ màng."
áp-chế-chủ-nghĩa,despotisme,壓制主義,"Chủ-nghĩa đè nén, áp ức người ta."
áp-lực,"force, pression extérieure; pression (atmosphérique)",壓力,"Sức ngoài nó ngăn-trở, đè nén mình; sức ép (thường nói về sức ép của không-khí)."
ấp-tốn,céder la place (se dit d'un souverain forcé de céder le trône à un de ses ministres),揖遜,"Vái nhường, vua truyền ngôi cho bầy tôi."
Bá Nha,,伯牙,"Người đời Xuân-thu, tài đàn cầm. Bạn với Chung Tử-Kỳ 鍾子期, chỉ có Tử-Kỳ mới biết nghe đàn mình. Tử-Kỳ chết, Bá Nha không đánh đàn nữa, buồn rằng ở đời không còn ai là người tri-âm. Theo sách Lã-thị Xuân-thu thì Bá là họ, Nha là tên."
